Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,0.77,0.89,0.77,0.818,0.818,1658584
2020-07-14,0.81,0.82,0.74,0.8,0.8,1333487
2020-07-13,0.76,0.9,0.73,0.809,0.809,3947058
2020-07-10,0.72,0.78,0.702,0.779,0.779,1432947
2020-07-09,0.77,0.77,0.702,0.738,0.738,1377673
2020-07-08,0.76,0.86,0.72,0.752,0.752,4380944
2020-07-07,0.789,0.799,0.71,0.74,0.74,2209843
2020-07-06,0.722,0.87,0.722,0.757,0.757,5417721
2020-07-02,0.82,0.92,0.72,0.747,0.747,9417155
2020-07-01,0.611,1.28,0.6,1.05,1.05,75685049
2020-06-30,0.643,0.645,0.59,0.61,0.61,436777
2020-06-29,0.5613,0.629,0.5502,0.6119,0.6119,551746
2020-06-26,0.586,0.5999,0.5511,0.5687,0.5687,389572
2020-06-25,0.6138,0.62,0.58,0.5945,0.5945,230283
2020-06-24,0.618,0.618,0.553,0.5995,0.5995,685759
2020-06-23,0.6099,0.643949,0.6059,0.628,0.628,452980
2020-06-22,0.67,0.69,0.59,0.64455,0.64455,1129738
2020-06-19,0.7299,0.74,0.66,0.661,0.661,1198291
2020-06-18,0.71,0.7599,0.6509,0.68,0.68,3244907
2020-06-17,0.57,0.7889,0.57,0.78,0.78,7481322
2020-06-16,0.6,0.609,0.58,0.59,0.59,390851
2020-06-15,0.5224,0.5799,0.515,0.5751,0.5751,314147
2020-06-12,0.5301,0.6,0.5101,0.515,0.515,322761
2020-06-11,0.5334,0.56,0.5,0.5022,0.5022,625831
2020-06-10,0.64,0.67,0.523,0.59,0.59,755889
2020-06-09,0.689,0.689,0.61,0.6283,0.6283,490043
2020-06-08,0.6271,0.6879,0.605,0.6686,0.6686,1776339
2020-06-05,0.5702,0.62,0.54,0.59,0.59,869077
2020-06-04,0.53,0.5595,0.501,0.54,0.54,462256
2020-06-03,0.495,0.525,0.4802,0.5229,0.5229,374610
2020-06-02,0.4891,0.51,0.4801,0.5048,0.5048,313605
2020-06-01,0.48,0.49,0.45,0.4852,0.4852,193739
2020-05-29,0.465,0.4799,0.4421,0.45,0.45,271256
2020-05-28,0.49,0.5,0.47,0.4747,0.4747,217957
2020-05-27,0.54,0.55,0.461,0.51,0.51,672249
2020-05-26,0.464,0.5538,0.4421,0.5144,0.5144,1418720
2020-05-22,0.4502,0.489,0.44,0.4639,0.4639,587864
2020-05-21,0.4294,0.4693,0.4291,0.4502,0.4502,639829
2020-05-20,0.4513,0.47,0.4203,0.4294,0.4294,414641
2020-05-19,0.4,0.48,0.39,0.44,0.44,1270755
2020-05-18,0.3811,0.4,0.3801,0.3989,0.3989,325020
2020-05-15,0.38,0.3899,0.363,0.375,0.375,244520
