Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,9.85,9.85,9.85,9.85,9.85,47
2020-05-19,9.843,9.85,9.843,9.85,9.85,5177
2020-05-18,9.87,9.87,9.825,9.85,9.85,19664
2020-05-15,9.8,9.85,9.8,9.85,9.85,50105
2020-05-14,9.85,9.85,9.85,9.85,9.85,23
2020-05-13,9.85,9.85,9.85,9.85,9.85,1922
2020-05-12,9.8499,9.8499,9.8499,9.8499,9.8499,1
2020-05-11,9.8499,9.8499,9.8499,9.8499,9.8499,69
2020-05-08,9.73,9.8499,9.73,9.8499,9.8499,400509
2020-05-07,9.8,9.8,9.8,9.8,9.8,106
2020-05-06,9.85,9.85,9.8,9.8,9.8,2226
2020-05-05,9.78,9.85,9.78,9.8,9.8,150916
2020-05-04,9.84,9.84,9.84,9.84,9.84,120
2020-05-01,9.76,9.84,9.76,9.8,9.8,611040
2020-04-30,9.78,9.78,9.78,9.78,9.78,0
2020-04-29,9.78,9.78,9.78,9.78,9.78,375045
2020-04-28,9.78,9.78,9.78,9.78,9.78,527
2020-04-27,9.76,9.77,9.75,9.77,9.77,200540
2020-04-24,9.76,9.785,9.75,9.785,9.785,407756
2020-04-23,9.85,9.85,9.7,9.7,9.7,14238
2020-04-22,9.79,9.81,9.7772,9.7772,9.7772,152124
2020-04-21,9.75,9.75,9.75,9.75,9.75,111
2020-04-20,9.82,9.82,9.81,9.81,9.81,404
2020-04-17,9.7,9.7,9.7,9.7,9.7,0
2020-04-16,9.7,9.7,9.7,9.7,9.7,7
2020-04-15,9.81,9.81,9.7,9.7,9.7,101800
2020-04-14,9.735,9.735,9.735,9.735,9.735,0
2020-04-13,9.75,9.75,9.735,9.735,9.735,368
2020-04-09,9.69,9.73,9.69,9.69,9.69,32528
2020-04-08,9.72,9.73,9.72,9.73,9.73,254248
2020-04-07,9.76,9.76,9.76,9.76,9.76,105
2020-04-06,9.61,9.76,9.61,9.76,9.76,493
2020-04-03,9.69,9.74,9.69,9.74,9.74,401
2020-04-02,9.65,9.65,9.65,9.65,9.65,78534
2020-04-01,9.65,9.65,9.65,9.65,9.65,0
2020-03-31,9.65,9.65,9.65,9.65,9.65,621937
2020-03-30,9.8031,9.8031,9.8031,9.8031,9.8031,100
2020-03-27,9.565,9.565,9.565,9.565,9.565,119
2020-03-26,9.43,9.565,9.43,9.565,9.565,4049
2020-03-25,9.38,9.38,9.38,9.38,9.38,0
2020-03-24,9.38,9.38,9.38,9.38,9.38,4
2020-03-23,9.4,9.44,9.38,9.38,9.38,609198
2020-03-20,9.7163,9.7163,9.7163,9.7163,9.7163,50010
2020-03-19,9.7163,9.7163,9.7163,9.7163,9.7163,58
