Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,1.28,1.41,1.26,1.41,1.41,92763
2020-02-19,1.34,1.39,1.29,1.36,1.36,94309
2020-02-18,1.4,1.42,1.33,1.36,1.36,44549
2020-02-14,1.3,1.32,1.26,1.32,1.32,60179
2020-02-13,1.32,1.32,1.24,1.2979,1.2979,36850
2020-02-12,1.3,1.36,1.25,1.2698,1.2698,99196
2020-02-11,1.36,1.38,1.23,1.26,1.26,225230
2020-02-10,1.45,1.45,1.31,1.33,1.33,112959
2020-02-07,1.47,1.5,1.4,1.4,1.4,75847
2020-02-06,1.59,1.59,1.47,1.47,1.47,210918
2020-02-05,1.55,1.57,1.47,1.5,1.5,1188569
2020-02-04,2.24,2.24,1.8301,1.91,1.91,100024
2020-02-03,2.41,2.41,2.21,2.22,2.22,38474
2020-01-31,2.3,2.4,2.24,2.24,2.24,24394
2020-01-30,2.36,2.45,2.2849,2.3,2.3,14559
2020-01-29,2.42,2.4715,2.3001,2.31,2.31,16661
2020-01-28,2.4763,2.4763,2.34,2.42,2.42,11173
2020-01-27,2.62,2.62,2.29,2.34,2.34,30153
2020-01-24,2.7,2.7,2.51,2.55,2.55,36403
2020-01-23,2.6,2.7,2.5163,2.7,2.7,65854
2020-01-22,2.55,2.5784,2.5,2.5401,2.5401,15067
2020-01-21,2.35,2.72,2.35,2.5663,2.5663,92298
2020-01-17,2.3,2.34,2.285,2.2892,2.2892,23199
2020-01-16,2.28,2.34,2.28,2.29,2.29,13586
2020-01-15,2.37,2.37,2.26,2.26,2.26,15077
2020-01-14,2.33,2.37,2.3203,2.3615,2.3615,10479
2020-01-13,2.39,2.4135,2.3,2.3669,2.3669,58327
2020-01-10,2.4321,2.47,2.4,2.4117,2.4117,11140
2020-01-09,2.44,2.44,2.395,2.4224,2.4224,11216
2020-01-08,2.51,2.51,2.4291,2.4501,2.4501,17895
2020-01-07,2.48,2.499,2.4,2.41,2.41,14095
2020-01-06,2.47,2.58,2.45,2.5,2.5,20634
2020-01-03,2.56,2.58,2.51,2.51,2.51,8898
2020-01-02,2.6299,2.6299,2.53,2.55,2.55,18721
2019-12-31,2.54,2.54,2.42,2.53,2.53,38416
2019-12-30,2.4,2.5,2.36,2.3886,2.3886,31254
2019-12-27,2.47,2.47,2.4,2.45,2.45,20229
2019-12-26,2.47,2.55,2.405,2.405,2.405,31578
2019-12-24,2.52,2.57,2.5,2.5039,2.5039,8165
2019-12-23,2.51,2.59,2.51,2.5527,2.5527,12455
2019-12-20,2.46,2.51,2.43,2.51,2.51,16333
2019-12-19,2.51,2.5625,2.45,2.46,2.46,11006
2019-12-18,2.56,2.6,2.46,2.55,2.55,56756
2019-12-17,2.55,2.6145,2.55,2.57,2.57,5600
